"X","ID","ag","pov_final","genre","mc_calc"
1,"2005_Banville,John_TheSea_PW.txt.csv","M","1p","PW","Y"
2,"2005_Barfoot,Joan_Luck_PW.txt.csv","F","3p","PW","Y"
3,"2005_Barnes,Julian_ArthurGeorge_PW.txt.csv","M","3p","PW","Y"
4,"2005_Barry,Sebastian_LongLongWay_PW.txt.csv","M","3p","PW","Y"
5,"2005_Bergen,David_TheTimeinBetween_PW.txt.csv","M","3p","PW","Y"
6,"2005_Boyden,Joseph_ThreeDayRoad_PW.txt.csv","M","1p","PW","Y"
7,"2005_Danticat,Edwidge_DewBreaker_PW.txt.csv","F","3p","PW","Y"
8,"2005_Doctorow,EL_TheMarch_PW.txt.csv","M","3p","PW","Y"
9,"2005_Fried,Golda_Nellcott_PW.txt.csv","F","3p","PW","Y"
10,"2005_Gaitskill,Mary_Veronica_PW.txt.csv","F","1p","PW","Y"
11,"2005_Gibb,Camilla_SweetnessintheBelly_PW.txt.csv","F","1p","PW","Y"
12,"2005_Gill,Charlotte_Ladykiller_PW.txt.csv","F","3p","PW","Y"
13,"2005_Ishiguro,Kazuo_NeverLetMeGo_PW.txt.csv","M","1p","PW","N"
14,"2005_Jin,Ha_WarTrash_PW.txt.csv","M","1p","PW","Y"
15,"2005_Moore,Lisa_Alligator_PW.txt.csv","F","3p","PW","Y"
16,"2005_Pate,Kathy_Alphabet_PW.txt.csv","F","3p","PW","Y"
17,"2005_Ravel,Edeet_WallofLight_PW.txt.csv","F","1p","PW","Y"
18,"2005_Sorrentino,Christopher_Trance_PW.txt.csv","M","3p","PW","Y"
19,"2005_Steinke,Rene_HolySkirts_PW.txt.csv","F","3p","PW","Y"
20,"2005_Vollmann,WilliamT_EuropeCentral_PW.txt.csv","M","3p","PW","Y"
21,"2005_Yarbrough,Steve_PrisonersofWar_PW.txt.csv","M","3p","PW","Y"
22,"2006_Behrens,Peter_LawofDreams_PW.txt.csv","M","3p","PW","Y"
23,"2006_Cole,Trevor_TheFearsomeParticles_PW.txt.csv","M","3p","PW","Y"
24,"2006_Fisher,Karen_ASuddenCountry_PW.txt.csv","F","3p","PW","Y"
25,"2006_Grenville,Kate_SecretRiver_PW.txt.csv","F","3p","PW","Y"
26,"2006_Hage,Rawi_DeNirosGame_PW.txt.csv","M","1p","PW","Y"
27,"2006_Kalfus,Ken_DisorderPeculiar_PW.txt.csv","M","3p","PW","Y"
28,"2006_Lam,Vincent_BloodlettingandMiraculousCures_PW.txt.csv","M","3p","PW","Y"
29,"2006_Matar,Hisham_CountryofMen_PW.txt.csv","M","1p","PW","Y"
30,"2006_Powers,Richard_EchoMaker_PW.txt.csv","M","3p","PW","Y"
31,"2006_Quiviger,Pascale_PerfectCircle_PW.txt.csv","F","3p","PW","Y"
32,"2006_Salter,James_LastNight_PW.txt.csv","M","3p","PW","Y"
33,"2006_Soucy,Gaetan_ImmaculateConception_PW.txt.csv","M","3p","PW","Y"
34,"2006_Spiotta,Dana_EattheDocument_PW.txt.csv","F","3p","PW","Y"
35,"2006_Wagner,Bruce_TheChrysanthemumPalace_PW.txt.csv","M","1p","PW","N"
36,"2006_Walter,Jess_TheZero_PW.txt.csv","M","3p","PW","Y"
37,"2006_Waters,Sarah_NightWatch_PW.txt.csv","F","3p","PW","Y"
38,"2006_Windley,Carol_HomeSchooling_PW.txt.csv","F","3p","PW","Y"
39,"2007_Berlinski,Mischa_Fieldwork_PW.txt.csv","F","3p","PW","Y"
40,"2007_Chariandy,David_Soucouyant_PW.txt.csv","M","1p","PW","Y"
41,"2007_DAmbrosio,Charles_TheDeadFishMuseum_PW.txt.csv","M","1p","PW","N"
42,"2007_Davis,Lydia_VarietiesofDistrubanceStories_PW.txt.csv","F","1p","PW","N"
43,"2007_Eisenberg,Deborah_TwilightoftheSuperheroes_PW.txt.csv","F","3p","PW","Y"
44,"2007_Ferris,Joshua_ThenWeCame_PW.txt.csv","M","3p","PW","Y"
45,"2007_Gowdy,Barbara_Helpless_PW.txt.csv","F","3p","PW","Y"
46,"2007_Hamid,Mohsin_ReluctantFund_PW.txt.csv","M","1p","PW","Y"
47,"2007_Hay,Elizabeth_LateNights_PW.txt.csv","F","3p","PW","Y"
48,"2007_Hempel,Amy_TheCollectedStoriesofAmyHempel_PW.txt.csv","F","1p","PW","Y"
49,"2007_Johnson,Denis_TreeofSmoke_PW.txt.csv","M","3p","PW","Y"
50,"2007_Jones,EdwardP_AuntHagar_PW.txt.csv","M","3p","PW","Y"
51,"2007_Jones,Lloyd_MisterPip_PW.txt.csv","M","1p","PW","Y"
52,"2007_Mcewan,Ian_ChesilBeach_PW.txt.csv","M","3p","PW","Y"
53,"2007_Ondaatje,Michael_Divisadero_PW.txt.csv","M","3p","PW","Y"
54,"2007_ONeill,Heather_LullabiesforLittle_PW.txt.csv","F","1p","PW","Y"
55,"2007_Roth,Philip_Everyman_PW.txt.csv","M","3p","PW","Y"
56,"2007_Shepard,Jim_LikeYoudUnderstand_PW.txt.csv","M","1p","PW","Y"
57,"2007_Vassanji,MG_AssassinsSong_PW.txt.csv","M","1p","PW","N"
58,"2007_York,Alissa_Effigy_PW.txt.csv","F","3p","PW","Y"
59,"2008_Adiga,Aravind_TheWhiteTiger_PW.txt.csv","M","1p","PW","Y"
60,"2008_Barry,Sebastian_SecretScripture_PW.txt.csv","M","1p","PW","Y"
61,"2008_Boyden,Joseph_ThroughBlackSpruce_PW.txt.csv","M","1p","PW","Y"
62,"2008_Christensen,Kate_GreatMan_PW.txt.csv","F","3p","PW","Y"
63,"2008_DeSa,Anthony_BarnacleLove_PW.txt.csv","M","3p","PW","Y"
64,"2008_Dillard,Annie_TheMaytrees_PW.txt.csv","F","3p","PW","Y"
65,"2008_Endicott,Marina_GoodtoaFault_PW.txt.csv","F","3p","PW","Y"
